Time[s],CH1[C],CH2[C],CH3[C],CH4[C],CH5[C],CH6[C],CH7[C],CH8[C]
0,11.9,12.1,12.1,12.2,12.2,12.3,12.4,12.6
10,11.9,12.1,12.1,12.2,12.2,12.3,12.5,12.7
20,11.9,12.1,12.1,12.3,12.2,12.4,12.5,12.8
30,11.9,12.1,12.1,12.3,12.3,12.4,12.6,12.9
40,11.9,12.1,12.1,12.3,12.3,12.5,12.8,13.1
50,11.9,12.1,12.2,12.4,12.4,12.6,12.9,13.3
60,11.9,12.2,12.2,12.4,12.5,12.8,13.1,13.5
70,11.9,12.2,12.3,12.5,12.6,12.9,13.3,13.7
80,12,12.2,12.3,12.6,12.7,13.1,13.5,14
90,12,12.3,12.4,12.7,12.8,13.3,13.7,14.2
100,12,12.3,12.5,12.8,13,13.4,13.9,14.4
110,12.1,12.4,12.6,12.9,13.1,13.6,14.2,14.7
120,12.1,12.5,12.6,13,13.3,13.8,14.4,14.9
130,12.2,12.5,12.7,13.1,13.4,14,14.6,15.2
140,12.2,12.6,12.9,13.2,13.6,14.2,14.8,15.4
150,12.3,12.7,13,13.4,13.8,14.4,15,15.7
160,12.4,12.8,13.1,13.5,13.9,14.6,15.3,15.9
170,12.4,12.8,13.2,13.6,14.1,14.8,15.5,16.1
180,12.5,12.9,13.3,13.8,14.3,15,15.7,16.4
190,12.5,13,13.4,13.9,14.5,15.2,15.9,16.6
200,12.6,13.1,13.5,14,14.6,15.3,16.1,16.8
210,12.7,13.2,13.6,14.2,14.8,15.5,16.3,17.1
220,12.7,13.3,13.7,14.3,14.9,15.7,16.5,17.3
230,12.8,13.4,13.8,14.4,15.1,15.9,16.7,17.5
240,12.9,13.5,14,14.6,15.3,16.1,16.9,17.7
250,12.9,13.5,14.1,14.7,15.4,16.2,17.1,17.9
260,13,13.6,14.2,14.8,15.6,16.4,17.3,18.1
270,13.1,13.7,14.3,15,15.7,16.6,17.5,18.3
280,13.1,13.8,14.4,15.1,15.9,16.7,17.7,18.5
290,13.2,13.9,14.5,15.2,16,16.9,17.9,18.7
300,13.2,14,14.6,15.4,16.2,17.1,18,18.9
310,13.3,14.1,14.7,15.5,16.3,17.2,18.2,19.1
320,13.4,14.1,14.8,15.6,16.4,17.4,18.4,19.3
330,13.4,14.2,14.9,15.7,16.6,17.6,18.5,19.4
340,13.5,14.3,15,15.8,16.7,17.7,18.7,19.6
350,13.6,14.4,15.1,15.9,16.8,17.8,18.9,19.8
360,13.6,14.4,15.2,16.1,17,18,19,20
370,13.7,14.5,15.3,16.2,17.1,18.1,19.2,20.1
380,13.7,14.6,15.4,16.3,17.2,18.3,19.3,20.3
390,13.8,14.7,15.5,16.4,17.4,18.4,19.5,20.5
400,13.8,14.7,15.6,16.5,17.5,18.5,19.6,20.6
410,13.9,14.8,15.7,16.6,17.6,18.7,19.8,20.8
420,13.9,14.9,15.8,16.7,17.7,18.8,19.9,20.9
430,14,14.9,15.8,16.8,17.8,18.9,20,21.1
440,14.1,15,15.9,16.9,18,19.1,20.2,21.2
450,14.1,15.1,16,17,18.1,19.2,20.3,21.3
460,14.2,15.1,16.1,17.1,18.2,19.3,20.4,21.5
470,14.2,15.2,16.2,17.2,18.3,19.4,20.6,21.6
480,14.2,15.3,16.2,17.3,18.4,19.5,20.7,21.8
490,14.3,15.3,16.3,17.3,18.5,19.6,20.8,21.9
500,14.3,15.4,16.4,17.4,18.6,19.7,20.9,22
510,14.4,15.4,16.5,17.5,18.7,19.9,21.1,22.2
520,14.4,15.5,16.5,17.6,18.8,20,21.2,22.3
530,14.5,15.6,16.6,17.7,18.9,20.1,21.3,22.4
540,14.5,15.6,16.7,17.8,19,20.2,21.4,22.5
550,14.6,15.7,16.7,17.8,19.1,20.3,21.5,22.6
560,14.6,15.7,16.8,17.9,19.1,20.4,21.6,22.8
570,14.6,15.8,16.9,18,19.2,20.5,21.7,22.9
580,14.7,15.8,16.9,18.1,19.3,20.6,21.8,23
590,14.7,15.9,17,18.1,19.4,20.7,21.9,23.1
600,14.8,15.9,17.1,18.2,19.5,20.8,22,23.2
610,14.8,16,17.1,18.3,19.6,20.9,22.1,23.3
620,14.8,16,17.2,18.4,19.7,20.9,22.2,23.4
630,14.9,16.1,17.2,18.4,19.7,21,22.3,23.5
640,14.9,16.1,17.3,18.5,19.8,21.1,22.4,23.6
